ride_id,timestamp,pickup_zone,vehicle_type,hour,is_weekend,weather_severity,traffic_index,distance_km,ride_duration_min,demand,available_drivers,demand_supply_ratio,surge_multiplier,trip_cost
R0000000,2025-05-08 05:02:00,University,Economy,2,1,0.026,1.174,2.81,11.958,39,36,1.0833,1.035,7.27
R0000001,2025-08-02 05:56:00,Central,Economy,18,0,0.402,1.827,3.491,13.764,87,37,2.3514,1.5676,17.8
R0000002,2025-03-12 07:58:00,North,Economy,15,0,1.746,1.269,9.207,30.722,43,53,0.8113,1.0,21.35
R0000003,2025-02-14 23:32:00,Airport,Comfort,10,1,0.756,1.786,13.588,49.507,97,40,2.425,1.5985,74.09
R0000004,2025-12-23 18:05:00,Airport,Economy,10,0,0.145,1.639,7.489,26.077,80,36,2.2222,1.5133,29.84
R0000005,2025-05-04 20:26:00,Tech Park,Economy,20,1,1.672,1.82,9.946,38.42,79,29,2.7241,1.7241,52.24
R0000006,2025-06-26 23:55:00,Airport,Economy,2,0,0.183,1.053,14.26,44.617,46,59,0.7797,1.0,28.21
R0000007,2025-11-07 00:45:00,South,Premium,16,0,0.647,1.316,15.197,51.685,34,40,0.85,1.0,65.03
R0000008,2025-07-23 18:11:00,Tech Park,Economy,4,0,0.1,1.306,5.516,18.925,49,36,1.3611,1.1517,14.19
R0000009,2025-09-15 23:40:00,Airport,Economy,2,1,1.281,1.185,4.831,13.632,80,46,1.7391,1.3104,17.31
R0000010,2025-06-18 01:55:00,North,Economy,12,0,0.642,0.879,13.866,42.725,45,54,0.8333,1.0,27.09
R0000011,2025-06-12 06:58:00,Tech Park,Economy,23,1,0.809,1.441,9.972,32.546,52,48,1.0833,1.035,29.58
R0000012,2025-07-23 21:37:00,University,Comfort,17,1,0.776,1.988,10.738,40.003,82,42,1.9524,1.4,55.96
R0000013,2025-07-03 09:40:00,Central,Comfort,18,0,0.186,1.656,5.4,18.998,85,36,2.3611,1.5717,25.99
R0000014,2025-01-17 21:47:00,University,Economy,17,0,0.256,1.919,11.033,38.277,73,34,2.1471,1.4818,40.09
R0000015,2025-01-06 13:10:00,Tech Park,Premium,18,0,0.738,1.742,4.255,16.043,82,52,1.5769,1.2423,25.4
R0000016,2025-01-04 02:31:00,South,Economy,12,1,0.084,0.851,8.899,27.547,42,39,1.0769,1.0323,22.72
R0000017,2025-10-25 02:56:00,North,Comfort,3,0,1.091,0.96,8.26,24.221,39,34,1.1471,1.0618,23.14
R0000018,2025-09-22 22:19:00,Tech Park,Economy,20,0,0.484,1.399,8.292,31.304,70,47,1.4894,1.2055,28.7
R0000019,2025-04-26 15:49:00,Tech Park,Economy,10,0,0.593,1.658,11.937,45.598,62,44,1.4091,1.1718,39.35
R0000020,2025-11-14 20:10:00,Central,Comfort,12,0,0.642,1.032,4.432,16.429,53,38,1.3947,1.1658,16.35
R0000021,2025-04-01 15:45:00,University,Premium,8,1,0.141,1.471,11.272,34.446,59,36,1.6389,1.2683,48.77
R0000022,2025-07-14 12:10:00,University,Comfort,4,0,0.645,1.097,7.857,28.086,35,35,1.0,1.0,27.13
R0000023,2025-04-27 18:21:00,North,Comfort,22,0,0.983,1.331,5.026,16.97,45,34,1.3235,1.1359,19.11
R0000024,2025-09-13 07:18:00,Tech Park,Comfort,18,0,0.286,1.503,3.755,17.686,76,27,2.8148,1.7622,29.76
R0000025,2025-03-14 19:02:00,South,Comfort,15,0,0.251,0.916,21.95,62.266,40,35,1.1429,1.06,54.24
R0000026,2025-04-11 19:59:00,Tech Park,Economy,9,0,2.621,1.935,7.477,28.818,83,36,2.3056,1.5483,33.64
R0000027,2025-10-26 06:12:00,Tech Park,Economy,19,1,0.222,1.756,6.39,24.333,76,44,1.7273,1.3055,23.34
R0000028,2025-01-07 20:16:00,Airport,Comfort,13,0,0.393,1.058,4.141,11.663,47,35,1.3429,1.144,15.56
R0000029,2025-01-22 03:46:00,Airport,Economy,10,0,1.841,1.932,14.136,50.128,74,39,1.8974,1.3769,50.23
